#Layer, thickness, penetration depth, over-etch:
# GND  0.500  0.400  0.000
#SIOG  0.150  0.000  0.015
#TRIW  0.200  0.480  0.000
#SIOA  0.160  0.000  0.010
#RESI  0.080  0.027  0.000
#SIOR  0.100  0.000  0.020
#WIRA  0.500  0.350  0.000
#SIOB  0.620  0.000  0.050
#WIRB  0.950  0.400  0.000
#
# Two fitting parameters:
# 1) lambda=0.35um
# 2) bottom 0.100um of each layer is considered to be an insulator
#
# Presence of ground under RT (RTg) will reduce inductance somewhat.
# Ignore this because it's not an important combination.
# BT and AT (BTg and ATg) are purposely excluded. Don't use them
#
#Width	TG	AG	BG	RG	TAG	AGT	BA	RTG	RT
0.50	1.7757	0.6245	0.4358	1.3897	0.5686	0.6174	0.4146	1.3943	1.4442
0.75	1.8435	0.7078	0.5372	1.4599	0.6567	0.6970	0.5055	1.4650	1.5407
1.00	1.8968	0.7769	0.6262	1.5153	0.7277	0.7623	0.5842	1.5203	1.6214
1.25	1.9401	0.8355	0.7052	1.5604	0.7862	0.8172	0.6531	1.5649	1.6909
1.50	1.9762	0.8859	0.7759	1.5982	0.8351	0.8640	0.7139	1.6017	1.7520
2.00	2.0330	0.9682	0.8971	1.6576	0.9120	0.9396	0.8164	1.6590	1.8550
2.50	2.0760	1.0329	0.9974	1.7029	0.9697	0.9982	0.8996	1.7017	1.9395
3.00	2.1099	1.0854	1.0824	1.7387	1.0148	1.0453	0.9688	1.7348	2.0107
3.50	2.1374	1.1290	1.1554	1.7678	1.0510	1.0839	1.0276	1.7613	2.0718
4.00	2.1602	1.1660	1.2191	1.7920	1.0808	1.1165	1.0782	1.7829	2.1249
5.00	2.1962	1.2255	1.3253	1.8302	1.1270	1.1683	1.1615	1.8163	2.2132
6.00	2.2232	1.2718	1.4107	1.8590	1.1613	1.2079	1.2276	1.8410	2.2839
7.00	2.2445	1.3088	1.4811	1.8817	1.1878	1.2393	1.2816	1.8600	2.3419
8.00	2.2617	1.3393	1.5406	1.9001	1.2089	1.2649	1.3266	1.8750	2.3906
9.00	2.2759	1.3649	1.5918	1.9153	1.2263	1.2862	1.3650	1.8873	2.4319
10.00	2.2878	1.3868	1.6361	1.9282	1.2406	1.3041	1.3980	1.8975	2.4676
12.00	2.3069	1.4222	1.7096	1.9488	1.2634	1.3330	1.4524	1.9135	2.5261
14.00	2.3215	1.4498	1.7685	1.9645	1.2804	1.3552	1.4953	1.9256	2.5721
16.00	2.3330	1.4722	1.8166	1.9770	1.2938	1.3728	1.5302	1.9349	2.6091
18.00	2.3423	1.4904	1.8571	1.9872	1.3046	1.3871	1.5593	1.9424	2.6397
20.00	2.3502	1.5058	1.8914	1.9956	1.3134	1.3990	1.5838	1.9486	2.6654
